Participant	Block	Trial	Stimulus	Condition	CorrectResp	Code_CorrResp	Response_Code	Response_Time
4	1	3	--<--	neutral	left	2	2	387
4	1	4	>><>>	incongruent	left	2	2	849
4	1	5	-->--	neutral	right	3	3	545
4	1	6	<<<<<	congruent	left	2	2	453
4	1	7	<<><<	incongruent	right	3	3	739
4	1	8	<<><<	incongruent	right	3	3	604
4	1	9	<<><<	incongruent	right	3	3	727
4	1	10	<<<<<	congruent	left	2	2	512
4	1	11	--<--	neutral	left	2	2	557
4	1	12	<<><<	incongruent	right	3	3	858
4	1	13	<<<<<	congruent	left	2	2	510
4	1	14	>>>>>	congruent	right	3	3	523
4	1	15	>>>>>	congruent	right	3	3	507
4	1	16	<<><<	incongruent	right	3	3	944
4	1	17	<<><<	incongruent	right	3	3	780
4	1	18	<<><<	incongruent	right	3	3	699
4	1	19	<<><<	incongruent	right	3	3	635
4	1	20	<<<<<	congruent	left	2	2	716
4	1	21	>><>>	incongruent	left	2	2	827
4	1	22	>><>>	incongruent	left	2	2	646
4	1	23	-->--	neutral	right	3	3	448
4	1	24	-->--	neutral	right	3	3	606
4	1	25	>>>>>	congruent	right	3	3	542
4	1	26	<<<<<	congruent	left	2	2	513
4	1	27	>><>>	incongruent	left	2	2	714
4	1	28	--<--	neutral	left	2	2	481
4	1	29	<<<<<	congruent	left	2	2	428
4	1	30	>><>>	incongruent	left	2	2	630
4	1	31	-->--	neutral	right	3	3	481
4	1	32	>><>>	incongruent	left	2	2	736
4	1	33	-->--	neutral	right	3	3	460
4	1	34	--<--	neutral	left	2	2	434
4	1	35	>><>>	incongruent	left	2	2	558
4	1	36	>>>>>	congruent	right	3	3	501
4	1	37	>><>>	incongruent	left	2	2	496
4	1	38	>>>>>	congruent	right	3	3	414
4	1	39	-->--	neutral	right	3	3	458
4	1	40	<<><<	incongruent	right	3	3	744
4	1	41	-->--	neutral	right	3	3	671
4	1	42	>><>>	incongruent	left	2	2	509
4	1	43	>><>>	incongruent	left	2	2	553
4	1	44	--<--	neutral	left	2	2	434
4	1	45	--<--	neutral	left	2	2	403
4	1	46	>>>>>	congruent	right	3	3	460
4	1	47	<<><<	incongruent	right	3	3	589
4	1	48	-->--	neutral	right	3	3	445
4	1	49	-->--	neutral	right	3	3	400
4	1	50	>>>>>	congruent	right	3	3	441
4	1	51	-->--	neutral	right	3	3	428
4	1	52	--<--	neutral	left	2	2	444
4	1	53	--<--	neutral	left	2	2	415
4	1	54	<<<<<	congruent	left	2	2	505
4	1	55	>><>>	incongruent	left	2	2	644
4	1	56	--<--	neutral	left	2	2	462
4	1	57	<<<<<	congruent	left	2	2	560
4	1	58	-->--	neutral	right	3	3	458
4	1	59	--<--	neutral	left	2	2	431
4	1	60	>>>>>	congruent	right	3	3	462
4	1	61	<<<<<	congruent	left	2	2	575
4	1	62	<<<<<	congruent	left	2	2	460
4	1	63	-->--	neutral	right	3	3	495
4	1	64	--<--	neutral	left	2	2	476
4	1	65	>>>>>	congruent	right	3	3	467
4	1	66	<<<<<	congruent	left	2	2	473
4	1	67	>>>>>	congruent	right	3	3	371
4	1	68	<<><<	incongruent	right	3	3	765
4	1	69	>>>>>	congruent	right	3	3	682
4	1	70	>><>>	incongruent	left	2	3	851
4	1	71	<<><<	incongruent	right	3	3	889
4	1	72	>>>>>	congruent	right	3	3	561
4	2	1	-->--	neutral	right	3	3	510
4	2	2	--<--	neutral	left	2	2	431
4	2	3	>><>>	incongruent	left	2	2	759
4	2	4	--<--	neutral	left	2	2	563
4	2	5	-->--	neutral	right	3	3	1336
4	2	6	<<><<	incongruent	right	3	3	929
4	2	7	<<<<<	congruent	left	2	2	623
4	2	8	--<--	neutral	left	2	2	655
4	2	9	>>>>>	congruent	right	3	3	569
4	2	10	>><>>	incongruent	left	2	2	1435
4	2	11	--<--	neutral	left	2	2	530
4	2	12	>>>>>	congruent	right	3	3	467
4	2	13	<<<<<	congruent	left	2	2	506
4	2	14	--<--	neutral	left	2	2	516
4	2	15	>><>>	incongruent	left	2	2	499
4	2	16	--<--	neutral	left	2	2	417
4	2	17	-->--	neutral	right	3	3	492
4	2	18	>>>>>	congruent	right	3	3	470
4	2	19	>><>>	incongruent	left	2	2	820
4	2	20	<<><<	incongruent	right	3	3	683
4	2	21	<<><<	incongruent	right	3	3	742
4	2	22	<<><<	incongruent	right	3	3	561
4	2	23	-->--	neutral	right	3	3	459
4	2	24	-->--	neutral	right	3	3	462
4	2	25	>><>>	incongruent	left	2	2	607
4	2	26	>>>>>	congruent	right	3	3	481
4	2	27	<<<<<	congruent	left	2	2	505
4	2	28	--<--	neutral	left	2	2	610
4	2	29	>><>>	incongruent	left	2	2	655
4	2	30	<<><<	incongruent	right	3	3	1163
4	2	31	<<<<<	congruent	left	2	2	774
4	2	32	<<<<<	congruent	left	2	2	458
4	2	33	-->--	neutral	right	3	3	603
